season,site,parameter,t_mean01,t_mean99,t_slope_behind_01,t_slope_behind_99,t_sd_0199
monsoon,cbri,FDOM Fluorescence,0.4518255365,0.844139471,-7.19485799999999e-4,0.00102205278666667,0.0645502081392621
snowmelt,cbri,FDOM Fluorescence,0.4216767175,3.02957235,-0.0071036088,0.00751430453333332,0.7514345220191633
fall_baseflow,cbri,ORP,0.216713,0.269412975,-3.78251200000002e-4,3.27722933333335e-4,0.014251887086938583
monsoon,cbri,ORP,0.126109142,0.2706174246,-5.71993866666666e-4,4.56051666666666e-4,0.030538391216736696
snowmelt,cbri,ORP,0.1182505301,0.3348815086,-0.00113751033333333,8.39042453333329e-4,0.048135102473985225
fall_baseflow,cbri,pH,7.7221125,7.9768435,-0.00460011266666665,0.00459799999999999,0.06466230664111268
monsoon,cbri,pH,7.51846275,7.89462533,-0.0050060333333333,0.00523826666666671,0.08335334574077681
snowmelt,cbri,pH,7.487555587,7.774173395,-0.00622210353333333,0.00639139506666665,0.06272427361258005
fall_baseflow,cbri,Specific Conductivity,46.6398825,63.305085,-0.0187558933333331,0.0343786666666666,5.308439224072149
monsoon,cbri,Specific Conductivity,45.4535374,50.2386733,-0.0114697733333332,0.0126415199999999,1.3490388634015424
snowmelt,cbri,Specific Conductivity,40.87315872,66.31380535,-0.0814248533333335,0.0588363093333334,5.177695673766031
fall_baseflow,cbri,Temperature,0.92741395,9.59459075,-0.020306544,0.0197698793333333,2.749348809685696
monsoon,cbri,Temperature,5.41265831,10.9798953,-0.0152229966666666,0.0240383040000001,0.8914897825757371
snowmelt,cbri,Temperature,0.3770029024,8.29263033,-0.0190539566666667,0.0192204456666666,2.0832783089357862
fall_baseflow,cbri,Turbidity,0,2.42853725,-0.126742696666667,0.124459530666667,0.19673946600861586
monsoon,cbri,Turbidity,0,4.56106411500004,-44.816871,73.6036676,0.8101761586162908
snowmelt,cbri,Turbidity,0.8132382438,60.6388319099999,-3.204563244,2.90072731733333,9.661436353824566
fall_baseflow,chd,Chl-a Fluorescence,0.0202808134,50.8180318,-1.0739391,1.38363889066667,3.980255756415118
monsoon,chd,Chl-a Fluorescence,0.0068813448,4.80801704999998,-0.369815776,0.338609056333333,0.3857990965435524
snowmelt,chd,Chl-a Fluorescence,0.0240874979,1.623699387,-0.0292224978666667,0.0308861858000001,0.2612088853064719
fall_baseflow,chd,Depth,0.1070842294176,0.345000364608,-4.36533747200001e-4,3.77586544800001e-4,0.07209340983963657
monsoon,chd,Depth,0.2987192817576,0.6794884695192,-0.00124705067328,0.00101300694528,0.07406163461417482
snowmelt,chd,Depth,0.5267867921952,0.9496066771608,-0.00237600857792,0.00224493644991999,0.12887956652080368
fall_baseflow,chd,DO,7.12986528,8.01936704,-0.00554917133333334,0.00605001599999998,0.2120637066804978
monsoon,chd,DO,6.49894288,8.40054963,-0.0045662133333333,0.00396337333333334,0.3797673377338345
snowmelt,chd,DO,8.08042522,9.33162977,-0.00519288000000005,0.00578263199999996,0.2669705095075731
fall_baseflow,chd,FDOM Fluorescence,0.414832656,0.496094212,-0.00106875413333333,0.00142680533333333,0.016103818003767204
monsoon,chd,FDOM Fluorescence,0.334377205,0.9258216656,-0.0063036274,0.00610886746666667,0.09636992132129338
snowmelt,chd,FDOM Fluorescence,0.732273911,1.586201434,-0.00743784297999999,0.00608228533333333,0.19499141863574895
fall_baseflow,chd,ORP,0.312863332,0.366183654,-3.89450266666665e-4,2.96192666666663e-4,0.01107330503266955
monsoon,chd,ORP,0.25997531,0.34816605900000003,-2.82402933333337e-4,3.74644106666667e-4,0.018648392546765553
snowmelt,chd,ORP,0.2544347771,0.3164775977,-5.59038753333332e-4,7.14226506666667e-4,0.010146339918366191
fall_baseflow,chd,pH,7.47839804,8.08789626,-0.00537128666666666,0.00545059733333337,0.1394061895966366
